date,milestone,title,description
2002-08-14,individual,Portuguese Super Cup (Sporting CP),Ronaldo won the Portuguese Super Cup with Sporting CP in 2002.
2002-08-14,individual,UEFA European Under-17 Championship Golden Player,Ronaldo received the Golden Player award at the UEFA European Under-17 Championship in 2002.
2003-07-16,championship,FA Cup (Manchester United),Manchester United won the FA Cup during the 2003-2004 season, with Ronaldo making significant contributions.
2006-11-01,individual,UEFA Champions League Top Scorer (2007-2008),Ronaldo finished as the top scorer of the UEFA Champions League for the 2007-2008 season.
2007-08-15,championship,FA Community Shield (Manchester United),Manchester United won the FA Community Shield in 2007 with Ronaldo in the squad.
2007-08-15,individual,PFA Players' Player of the Year (Manchester United),Ronaldo secured the PFA Players' Player of the Year award for Manchester United in the 2006-2007 season.
2007-08-15,individual,PFA Young Player of the Year (Manchester United),Ronaldo was awarded the PFA Young Player of the Year for Manchester United in the 2006-2007 season.
2008-05-21,championship,Premier League Title (Manchester United),Manchester United won the Premier League title during the 2007-2008 season, with Ronaldo playing a key role.
2008-05-21,championship,UEFA Champions League Title (Manchester United),Ronaldo helped Manchester United win the UEFA Champions League title in the 2007-2008 season.
2008-06-30,individual,FIFA World Player of the Year,Cristiano Ronaldo was awarded the FIFA World Player of the Year in 2008, recognizing his outstanding performance in football globally.
2008-08-31,individual,Premier League Golden Boot (Manchester United),Ronaldo secured the Premier League Golden Boot during his tenure at Manchester United in the 2008-2009 season for being the top scorer.
2008-09-01,individual,UEFA Team of the Year,Ronaldo was selected in the UEFA Team of the Year in 2008, an acknowledgment of his exceptional performances in European club competitions.
2008-09-01,individual,UEFA Club Forward of the Year,Ronaldo earned the UEFA Club Forward of the Year title in 2008 for his remarkable contributions as an attacking player in European club football.
2008-09-01,individual,UEFA Club Footballer of the Year,Recognized as the UEFA Club Footballer of the Year in 2008, Ronaldo's excellence in club football was acknowledged by UEFA.
2008-09-01,individual,FIFPro World Player of the Year,Ronaldo was honored as the FIFPro World Player of the Year in 2008, a testament to his standing among professional footballers worldwide.
2009-06-14,individual,PFA Player of the Year (Manchester United), Named PFA Player of the Year for Manchester United in the 2008-2009 season, Ronaldo's exceptional contributions were recognized by his peers.
2009-06-14,individual,PFA Fans' Player of the Year (Manchester United), Ronaldo received the PFA Fans' Player of the Year award for Manchester United in the 2008-2009 season, chosen by the fans for his outstanding performances.
2009-06-14,individual,PFA Young Player of the Year (Manchester United), Ronaldo was awarded the PFA Young Player of the Year for Manchester United in the 2008-2009 season, acknowledging his young talent and impact.
2009-12-01,individual,Ballon d'Or, Cristiano Ronaldo won his first Ballon d'Or award in 2008, recognizing his outstanding performance as the best football player in the world.
2010-06-14,individual,PFA Fans' Player of the Year (Manchester United), Ronaldo was named PFA Fans' Player of the Year for Manchester United in the 2009-2010 season, showcasing continued fan appreciation for his skills.
2010-06-14,individual,PFA Players' Player of the Year (Manchester United), Ronaldo secured the PFA Players' Player of the Year for Manchester United in the 2009-2010 season, voted by fellow players for his excellence.
2010-08-29,individual,UEFA Best Player in Europe Award, Awarded UEFA Best Player in Europe in 2010, Ronaldo was recognized for his exceptional performances at the European level.
2010-09-01,individual,UEFA Forward of the Year, Ronaldo was honored as the UEFA Forward of the Year in 2010, acknowledging his remarkable abilities in the forward position in European competitions.
2010-09-01,individual,UEFA Club Footballer of the Year, Named UEFA Club Footballer of the Year in 2010, Ronaldo's impact and excellence in club football were highly acknowledged.
2010-09-01,individual,FIFPro World Player of the Year, Ronaldo was recognized as the FIFPro World Player of the Year in 2010, solidifying his position among the world's elite footballers.
2011-06-14,individual,PFA Fans' Player of the Year (Manchester United), Ronaldo was named PFA Fans' Player of the Year for Manchester United in the 2010-2011 season, demonstrating consistent fan admiration for his performances.
2011-06-14,individual,PFA Players' Player of the Year (Manchester United), Ronaldo secured the PFA Players' Player of the Year for Manchester United in the 2010-2011 season, selected by fellow players for his exceptional skills.
2012-06-14,individual,PFA Fans' Player of the Year (Manchester United), Named PFA Fans' Player of the Year for Manchester United in the 2011-2012 season, Ronaldo continued to receive recognition from the fans for his outstanding contributions.
2012-06-14,individual,PFA Players' Player of the Year (Manchester United), Ronaldo received the PFA Players' Player of the Year for Manchester United in the 2011-2012 season, acknowledged by his fellow players for his exceptional talent.
2012-12-01,individual,Ballon d'Or, Cristiano Ronaldo secured his second Ballon d'Or award in 2012, recognizing his continued excellence as one of the best football players in the world.
2013-01-07,individual,FIFA Ballon d'Or, Cristiano Ronaldo was a nominee for the FIFA Ballon d'Or in 2013, recognizing his exceptional performances on the field.
2013-01-13,individual,FIFA FIFPro World XI, Ronaldo was selected for the FIFA FIFPro World XI in 2013, acknowledging his status among the best players globally.
2013-05-17,championship,La Liga Title (Real Madrid), Real Madrid won the La Liga Title in the 2012-2013 season, with Cristiano Ronaldo contributing significantly to the team's success.
2013-05-17,individual,La Liga Best Player, Ronaldo was recognized as the best player in La Liga for his exceptional performances during the 2012-2013 season.
2013-05-17,individual,Pichichi Trophy (La Liga Top Scorer), Ronaldo secured the Pichichi Trophy for being the top scorer in La Liga during the 2012-2013 season.
2013-05-17,individual,European Golden Shoe, Cristiano Ronaldo was awarded the European Golden Shoe for being the top goal scorer in European domestic leagues during the 2012-2013 season.
2014-05-24,championship,UEFA Champions League Title (Real Madrid), Real Madrid won the UEFA Champions League Title in 2014, with Cristiano Ronaldo playing a pivotal role in the team's victory.
2014-12-01,individual,Ballon d'Or, Cristiano Ronaldo clinched his third Ballon d'Or in 2014, cementing his place among the greatest footballers in history.
2014-12-01,individual,FIFPro World XI, Ronaldo was selected in the FIFPro World XI in 2014, showcasing his consistent excellence and acknowledgment from peers.
2015-05-23,championship,UEFA Champions League Title (Real Madrid), Real Madrid secured the UEFA Champions League Title in 2015, with Ronaldo's contributions instrumental in the team's success.
2015-12-01,individual,Ballon d'Or, Cristiano Ronaldo won his fourth Ballon d'Or in 2015, showcasing consistent excellence and dominance in the footballing world.
2015-12-01,individual,FIFA FIFPro World XI, Ronaldo was included in the FIFA FIFPro World XI in 2015, acknowledging his status among the world's elite footballers.
2016-05-28,championship,UEFA Champions League Title (Real Madrid), Real Madrid claimed the UEFA Champions League Title in 2016, with Cristiano Ronaldo playing a crucial role in the victory.
2016-12-01,individual,Ballon d'Or, Cristiano Ronaldo secured his fifth Ballon d'Or in 2016, reaffirming his status as one of the greatest footballers in history.
2016-12-01,individual,FIFA FIFPro World XI, Ronaldo was named in the FIFA FIFPro World XI in 2016, solidifying his place among the top footballers globally.
2016-12-01,individual,UEFA Best Player in Europe Award, Ronaldo received the UEFA Best Player in Europe Award in 2016, acknowledging his outstanding performances in European competitions.
2016-12-01,individual,UEFA Team of the Year, Ronaldo was selected in the UEFA Team of the Year in 2016, recognizing his exceptional contributions to European football.
2016-12-01,individual,UEFA Club Footballer of the Year, Recognized as the UEFA Club Footballer of the Year in 2016, Ronaldo's excellence in club football was acknowledged by UEFA.
2016-12-01,individual,FIFPro World XI, Ronaldo's inclusion in the FIFPro World XI in 2016 highlighted his consistent brilliance at the global level.
2003-08-12,transfer,Transfer to Manchester United,Cristiano Ronaldo transferred from Sporting Lisbon to Manchester United.
2009-06-26,transfer,Transfer to Real Madrid,Cristiano Ronaldo transferred from Manchester United to Real Madrid.
2018-07-10,transfer,Transfer to Juventus,Cristiano Ronaldo transferred from Real Madrid to Juventus.
2003-08-06,important_goal,First Senior Career Goal (Sporting CP),Ronaldo scored his first senior career goal for Sporting CP in a league match against Moreirense on August 6, 2003.
2007-04-10,important_goal,Free Kick vs. Portsmouth (Manchester United),Ronaldo scored a stunning free-kick against Portsmouth in the Premier League on April 10, 2007.
2008-04-30,important_goal,Goal vs. Barcelona (UEFA Champions League),In the UEFA Champions League semi-final, Ronaldo scored a crucial goal against Barcelona on April 30, 2008.
2008-06-18,important_goal,Long-range Goal vs. Czech Republic (UEFA Euro 2008),Ronaldo scored a memorable long-range goal for Portugal against the Czech Republic in UEFA Euro 2008 on June 18, 2008.
2009-05-05,important_goal,Bicycle Kick vs. FC Porto (UEFA Champions League),In a crucial UEFA Champions League match, Ronaldo scored a spectacular bicycle kick against FC Porto on May 5, 2009.
2010-06-21,important_goal,Hat-trick vs. Spain (2010 FIFA World Cup),Ronaldo scored a memorable hat-trick against Spain in the 2010 FIFA World Cup on June 21, 2010.
2011-04-27,important_goal,Goal vs. Barcelona (Copa del Rey),Ronaldo scored a crucial goal against Barcelona in the Copa del Rey final on April 27, 2011.
2012-04-04,important_goal,Goal vs. APOEL (UEFA Champions League),Ronaldo scored a brilliant goal against APOEL in the UEFA Champions League quarter-finals on April 4, 2012.
2013-11-02,important_goal,Brace vs. Real Sociedad (La Liga),Ronaldo scored a brace against Real Sociedad in La Liga on November 2, 2013.
2014-05-24,important_goal,Champions League Final Penalty vs. Atletico Madrid (Real Madrid),In the UEFA Champions League final, Ronaldo scored a crucial penalty against Atletico Madrid on May 24, 2014.
2014-11-01,important_goal,Goal vs. Granada (La Liga),Ronaldo scored a memorable goal against Granada in La Liga on November 1, 2014.
2015-04-22,important_goal,Free Kick vs. Atletico Madrid (UEFA Champions League),In a UEFA Champions League quarter-final, Ronaldo scored a vital free-kick against Atletico Madrid on April 22, 2015.
2016-07-10,important_goal,Two Goals in Euro 2016 Final (UEFA Euro 2016),Ronaldo scored two crucial goals for Portugal in the UEFA Euro 2016 final against France on July 10, 2016.
2017-06-03,important_goal,Brace vs. Juventus (UEFA Champions League Final),In the UEFA Champions League final, Ronaldo scored a brace against Juventus on June 3, 2017.
2018-06-15,important_goal,World Cup Hat-trick vs. Spain (2018 FIFA World Cup),Ronaldo scored a sensational hat-trick against Spain in the 2018 FIFA World Cup on June 15, 2018.
2019-04-10,important_goal,Overhead Kick vs. Juventus (UEFA Champions League),In a quarter-final match, Ronaldo scored an incredible overhead kick against Juventus on April 10, 2019.
2020-02-26,important_goal,Brace vs. Lyon (UEFA Champions League),Ronaldo scored a crucial brace against Lyon in the UEFA Champions League on February 
2016-12-01,individual,IFFHS World's Best Goalscorer,Ronaldo was named the IFFHS World's Best Goalscorer in 2016, recognizing his exceptional goal-scoring prowess.
2017-06-03,individual,UEFA Champions League Final Man of the Match,Ronaldo was awarded the Man of the Match in the UEFA Champions League final against Juventus on June 3, 2017, for his standout performance.
2017-08-24,individual,UEFA Player of the Year,Ronaldo won the UEFA Men's Player of the Year award in 2017, acknowledging his outstanding contributions to European football.
2017-10-23,individual,The Best FIFA Men's Player,Ronaldo was named The Best FIFA Men's Player in 2017, recognizing his excellence in football on a global scale.
2018-08-30,individual,UEFA Forward of the Season,Ronaldo received the UEFA Forward of the Season award for the 2017-2018 season, highlighting his impact in the attacking role.
2018-08-30,individual,UEFA Goal of the Season,Ronaldo's bicycle kick goal against Juventus in the UEFA Champions League was awarded the UEFA Goal of the Season for the 2017-2018 campaign.
2018-12-03,individual,FIFPro World XI,Ronaldo was included in the FIFPro World XI in 2018, reflecting his consistent recognition among the world's best players.
2019-08-29,individual,UEFA Forward of the Season,Ronaldo was named the UEFA Forward of the Season for the 2018-2019 season, emphasizing his excellence in the attacking role.
2019-12-02,individual,FIFA FIFPro Men's World XI,Ronaldo was selected in the FIFA FIFPro Men's World XI in 2019, underlining his status as one of the top players globally.
2019-12-02,individual,Serie A MVP (Most Valuable Player),In the 2018-2019 season, Ronaldo was named the Serie A Most Valuable Player, recognizing his significant impact in the Italian league.
2020-08-17,individual,Serie A Capocannoniere (Top Scorer),Ronaldo secured the Serie A Capocannoniere award for being the top scorer in the 2019-2020 Serie A season.
2020-08-17,individual,Serie A Best Forward,Ronaldo was named the Serie A Best Forward for the 2019-2020 season, acknowledging his excellence in the forward position.
2020-10-01,individual,IFFHS World's Best International Top Division Goal Scorer,Ronaldo received the IFFHS World's Best International Top Division Goal Scorer award in 2020, recognizing his goal-scoring achievements at the international level.
2020-12-17,individual,FIFA FIFPro Men's World XI,Ronaldo was included in the FIFA FIFPro Men's World XI in 2020, highlighting his continued recognition among the world's elite players.
2005-05-21,championship,FA Cup (Manchester United),Manchester United won the FA Cup in the 2004-2005 season, with Cristiano Ronaldo making significant contributions to the team's success.
